　どこで	生れたか
流行が	変化し
主人は	ある
これでも	生長しなければならぬ
生長するどころではない、	大きくなる
主人は	大きくなったなと
主人でも	心得ている
以上は	承知している
承知しているだけで	片付ける
子ながらも	持て余している
定義を	云うと
事を	捏造して
これほど	窮しているとは
始末に	おえないのは
当年	とって
茶碗を	奪い、
世の中を	見渡すと
薫陶で	癒せる者ではないと、
　坊ばは	している
者を	使おうとするのだから、
坊ばは	込んだ
中は	漲っている
力が	伝わるやいなや、
味噌汁は	こぼれだす
事で	辟易する
今度は	上げた
口を	持って
米粒は	飛びついた
上へ	こぼれた
飯の	食い方である
吾輩は	忠告する
他を	あつかう
勢を	もって
御再考を	煩わしたい
世故に	たけた
　姉の	とん
頻繁に	出る
四膳	かえて、
子は	眺めていた
ものと	見えて、
飯を	拾い始めた
何に	するかと
　坊ばが	試みて
姉だけで、	とりかかる
第一に	寄寓していたのを
ほか、	入れてしまったのには
ぺたに	かかる
ここには	あったろう
姉は	食い、
時	かじっていたすん子が、
汁に	した
大人ですら	注意しないと
子は	吐き出した
二三片が	云う
薩摩芋が	飛んで来たのだから、
先刻から	目撃していた
主人は	見える
三人が	なって、
働きの	あると
少年輩までが	しなくては
これは	云うのではない
ごろつき手と	云うのである
猫だから	ある
働き手を	見る
ものが	殖えれば
生徒の	いる
関らず、	ごろついているのは
ごろつき手に	比べると
食い方を	もって、
格子を	あけた
遊廓の	ある
　主人が	出掛けた
御休みよ」と	する
「御休みなもんですか、	なさい」と
妻君も	思った
主人は	出したのだろう
細君も	知らずに
迷亭に	至っては
発明に	驚ろいた
三十分間は	起らなかったが、
踵の	まがった
日曜に	やって来て、
表へ	出て
「叔母さん今日は」と	這入って来て、
大祭日ですから、	急いで来たの」
何か用が	あるの？
御無沙汰を	したから、
叔父さんが	帰って来ますから」
今日	はね、
警察へ	行ったの、
春	這入った
引き合に	出されるの？
「なあに品物が	戻るのよ
ものが	出たから
叔父さんが	出掛ける
今時分は	寝ていらっしゃるんだわ」
「叔父さんほど、	怒るのよ
今朝なんかも	おこせと
中へ	潜って
こっちは	云うのよ
むやみに	怒る
あれで	勤まるのね」
人が	云えば
何か	させようと
こないだ	買ってもらう
わたしも	しよう」
「こないだ	来て、
小供は	あるし、
事が	あると
談判を	聞いていると、
必要も	認めないではない
ものだから	存在しているのだろう
保険に	這入る
男が、	はいりません
命と	云う
「決心したって、	死ぬわねえ
わたしなんか	是非及第するつもりだったけれども、
「保険社員も	云うのよ
寿命は	なりません
決心で	出来る
それが	わからないの
掛金を	出す
「貯金が	あるの？
自分が	死んだ
ここへ	いらっしゃる
鈴木さんにでも	頼んで
それじゃ、	落ちついてる——」
「八木さんには	大分閉口しているんですがね
昨日	来て
風に	落ちついていれば、——
先生じゃないけども、	して頂いたの」
髯を	生やしている
妻君が	聞きかけていると
空地へ	出て
「あら雪江さんが	来た」と
妻君は	わりなさい
雪江さんが	なさる
何の	御話し、
「坊ばも	御はなち」と
御話を	承
話だ」と	笑うと、
すんでから」と	賺かして
坊ばは	聞きそうにない
ば	ぶ」と
坊ばちゃんから	なさい
雪江さんは	謙遜した
坊たん、	行くのって」
「わたちは	いに」
「御前が	くうと
子が	出す
坊ばは	辟易させる
中途で	出された
雪江さんが	聞く
事を、	教わったの？
御三ね、	教えて」と
坊やは	聞いているのですよ」と
こんなのよ」と	切った
「昔	ある
車が	通る
事は	おっしゃらなくってよ
——で	したら、
男が	疲れてしまって、
今度は	釣れるだろうと
男は	いけないと
今度は	動かないんですって」
地蔵様は	減らないの」と
人は	しくじったから、
叔父さんに	似ているわ」
叔父さんよ、	やめてしまったんですとさ
あとからね、	出て、
法螺を	吹く
最初に	はね
世に	使ったって
「本当ね、	動いたの？
叔父さんは	恐れ入っているのよ」
顔を	して？
地蔵様は	動かないんですって、
法螺吹は	怒って、
世で	云うと
顔を	するんでしょう
何も	しないで、また
「それが	なるの？
「地蔵様を	捲くんです」
煙に	捲いたの？
ごまかしも	すればいいのに、
時分にも	あるの？
八木先生は	おっしゃってよ
殿下様に	化けたんだって、
しようがないから、	したそうです」
ついでに	やればいいのに
——でも	開いたんですが、
一番	雇って、
地蔵様を	いじめて、
子が	聞く
毎日	騒いでも
子が	する
「日当と	云うの
「御金を	もらって
「御金を	貰ってね
ホホホホいやな	すん
——	していますとね
時	云って、
馬鹿が	見て
みんなが	聞いて、
子が	放ったので、
「飄然と	云うのはね
飄然と	云うの
多々良三平さんを	知ってるでしょう」
山の芋を	くれてよ」
多々良さん	見たようなを
——	動いてやんなさいと
会でありますが、	ある
御婦人に	限った
代は	男子といえども、
御婦人に	在っては
あなた方が	なれば
人間は	あり過ぎるからである
馬鹿竹に	なって下さい、と
馬鹿竹に	なる
ものに	なりたくはないわ
富子さんなんぞは	怒ってよ」
人も	行くの？
婦人会だから	来たの
器量だって	云うじゃありませんか」
御化粧を	すれば
「それじゃ	美しくなるでしょう」
方は	つくり過ぎるのね
御金が	あったって
御金の	ある
馬鹿竹に	なった
この間も	云う
方が	捧げたの、
自分じゃ、	するのが
人が	あるから、
——	あるの
此間だれか、	送った
誰なの、	したのは」
「誰だか	わからないんだって」
「名前は	書いてあるんだけれども
事が	かいてあるんですとさ
私が	いるのは、
うちで	見た
人ね、	見せびらかして
方は	行くつもりなんだから、
寒月さんが	来たら、
方は	磨いていらっしゃるから、
方を	なる
　御金が	あって、
関係は	成立しやしないわ」
それじゃ	行くの？
　雪江さんと	逞しくしていると、
気に	満ちて、
「わたしねえ、	行きたいんだけれども、
雪江さんは	持ちかけた
「御ねえ様も	すき？
いっしょに	行きましょう
一人で	乗って
「坊ばも	行くの」と
三人が	行けたら、
ところへ	留ったと
主人は	戻ったと
車夫が	差出す
雪江さんに	挨拶しながら、
徳利様と	云うのは
ものを	貰っていら
叔父さんは、	自慢する
　油壺なんか	持って
事を	云うから
「花活に	しちゃ、
叔母さんと	択ぶ
ものだな」と	取り上げて、
油壺を	貰ってくるような
それどころではない、	検べている
泥棒も	進歩したのね
みんな、	してあるわ
「誰が	貰ってくる
退屈だから、	出して来たんだ
御前なんぞには	分るまいが
叔父さんは	散歩したの」
吉原へも	見た
門を	観た
「だれが	見る
吉原なんて	行く
所へ	行かれた
品数が	足りないようだ
これで	戻ったんでしょうか」
九時に	出頭しろと
警察が	いけないって、
事が	知れると
片側くらい	あきらめるさ
こっちは	待たされて、
細君も	諦めて、
「それを	買っていら
分りも	しない
壺なら	行かなくっても、
癖に	云う
女学生は	いかん
女大学でも	読むがいい」
考の	ある
保険へ	這入ってもいない
「来月から	這入るつもりだ」
金で	買った
叔母さん」叔母さんは	笑っている
主人は	真面目になって
「お前などは	生きる気だから、
来月から	這入るんだ」
こないだのように	買って下さる
ひとが	いりません、
「そんなら	還すが
子が	欲しがってるから、
今日	持って来たか」
苛	いじゃありませんか、
事は	いらないんですけれども、
事を	言う
苛い事が	ある
苛	いわ」
「愚だな、	繰り返している」
「叔父さんだって	繰り返しているじゃありませんか」
「御前が	繰り返すから
事は	いらないんですけれども、
学校じゃ	教えないのか」
無教育なんですから、	おっしゃい
ものを	還せだなんて、
真似でも	なさい」
真似を	しろ？
正直に	なさいと
それだから	落第するんだ」
「落第したって	しないわ」
　雪江さんは	落した
茫乎として、	見つめていた
ところへ	揃えて
「誰が	来たんだ」と
主人は	出て行く
吾輩も	廻った
人間を	研究するには
平凡が	持ち上がって
かくのごとく	有している
事には	あらわれて来ない
事は	あらわれているが、
幸に	して
あとさえ	ついて
男を	戴いて、
年頃は	追っつ、
頭を	見える
これと	云う
青坊主に	刈ってさえ、
顔に	かぎって
事実は	そうかも知れないが
着物は	分らないが、
ものだそうだが、	与える
上に	印しているのは
彼は	こまっている
ものが	控えるのは
途中で	逢ってさえ
ところを	生れ得て
教場もしくは	具えているかと
一人ずつ	なると、
塵積って	なすと
臆病者が	飲んで
衆を	頼んで
それでなけれ	恐れ入ると
馬鹿に	出来る
　主人は	云ったが
先に	剥げかかった
布団は	乗る
布団に	して
顔を	潰してまで、
実を	云うと、
それにもかかわらず	敷かない
布団が	控えているにもかかわらず
主人が	云うのに
遠慮するなら	遠慮すればいいのに、
ところへ	して、
　ところへ	すうと
平生なら、	冷やかすのだが、
雪江さんは	笑った
坊主に	比すれば
無念に	流した
　雪江さんの	引き込んだ
「君は	云ったけな」
「古井武右衛門——	なる
主人は	感心している
大頭は	ついているんだから、
夢に	見るくらい
主人は	出来なかったのである
夢に	見る
名の、	推諒出来ない
暮だろうが	寄りついた
古井武右衛門君を	もって
家へ	くる
様子を	見ると
主人から	聞き出した
「君遊びに	来たのか」
話したまえ」と	云うと
武右衛門君は	おらんが、
日本訳を	教えろと
先生が、	もじもじしているのは、
遠慮のみとは	受け取られない
主人も	思った
事が	あるなら、
主人は	見たが、
語勢を	変えて
何でも	話すが
ほかに	聞いて
わたしも	しないから」と
武右衛門君は	迷っている
主人は	する
毬栗頭を	むくりと
主人は	向いた
事に	なっちまって……」
「何がって、	困るもんですから、
何が	困るんだよ」
事を	する
「浜田と	云うのは
「浜田に	借したの
ものを	借し
何を	借し
「名前を	借したんです」
「浜田が	したんだい」
「艶書を	送ったんです」
「何を	送った？
名前は	廃して、
要領を	得んじゃないか
誰が	したんだい」
「艶書を	送ったんです」
「艶書を	送った？
君が、	送ったのか」
「浜田が	送ったの
誰が	送ったんだい」
「誰だか	分らないんです」
要領を	得ないな
誰も	送らんの
「名前だけは	分らんじゃないか
条理を	立てて
艶書を	受けた
「金田って	いる
名前だけ	借したとは
生意気だから	送ったんです
——	云いますから、
いいって——	借してしまったんです」
君は	知ってるのか
「交際も	ありゃしません
顔なんか	見た
顔も	知らない
みんなが	云うから、
名を	かいて
文章は	書いたんです
僕が	借して
三人で	共同してやったんだね」
あとから	考えると、
馬鹿を	した
文明中学二年生古井武右衛門とでも	かいたの
名なんか	書きゃしません」
名を	書かないだけ
これで	出て
退校に	なるでしょうか」
継母ですから、	困っちまうです
退校に	なるでしょうか」
真似を	しないが
気でもなかったんですが、	やってしまったんです
退校に	ならないように
蔭では	笑っている
主人は	繰り返している
人が	あるかも知れない
人間に	せよ、
己を	知る
時は	やめてしまうつもりである
自分で	分らないと
人間は	抜けている
霊だなどと	担いで
恬として	至っては
彼は	騒ぎ立てている
霊を	辞職するかと
矛盾を	して
愛嬌に	なる
　吾輩が	面白がるのは、
反響が	起すからである
おっかさんが	しようとも、
武右衛門君が	なるのは、
生徒が	なったら、
ために	ひそめたり、
思いやりの	ある
世の中に	生れて来た
実を	云うと
ごまかしを	やる
人から	珍重される
主人は	属すると
珍重されないから、	発表している
彼が	繰り返しているのでも
諸君は	嫌ってはいけない
性質を	かくそうと
諸君が	かかる
正直ですら	予期するのは、
主人は	して、
女連には	思われる
解剖すれば	困るのが
諸君女に	向って
人は	云うだろう
侮辱したと	思うのは
品性を	侮辱するような
僕は	する
不道徳と	云っては
不道徳だなどと	云えば
僕を	侮辱した
利口だ、	立っている
人間に	生れる
はかように	つく
武右衛門先生も	恐れ入ってはいるような
最後に	紹介する
頭脳は	充満せるがごとく、
鼻が	動くのは
彼は	窮している
監督と	つく
彼は	忘れている
監督と	つく
主人が	好んでなった
命によって	いただいている、
名前だけでは	する
場合に	役に立つなら
武右衛門君は	我儘なるのみならず、
思も	寄らなかったろう
家へ	来て、
彼は	なるだろう
心配には	冷淡になるだろう、
ごとくに	して
金田令夫人を	もって
吾輩は	希望するのである
心配するとも、	後悔するとも、
社会は	放逐するであろう
格子が	あいて、
武右衛門君に	繰り返していた
「御客ですか」と	聞き返している
「なに	構わん、
先生を	来たんですがね」
「どこへ	行くんだい
せんだっては	棒のようになった」
久し振りに	出ませんか」
「どこへ	出るんだい
「上野へ	行って
　寒月君は	上がって来た
例のごとく	穿いているが、
細君を	もって
鳴き声を	聞いたって
今じゃ	いけません、
何でも	茂った、
心持ちに	なって
心持ちに	なって、
「大丈夫	鳴きます
鳴き声は	聞えるくらいなんですから、
「魑魅鼻を	衝くとは
事を	云うじゃありませんか、
虎が	振い落すような
冒険に	出掛けませんか
愉快だろうと	思うんです
鳴き声は	聞かなくっちゃ、
時まで	聞いていた
寒月君は	見た
吾輩は	廻る
　茶の間では	載せて、
憚りさま、	出して来て下さい」
細君は	留める
雪江さんは	落した
細君は	始める
構や	しないわ」
もの」と	放さない
時に	読める
恥か	しい事は
雪江さんは	流れ込む
「それ御覧	なさい」と
雑巾でも	持ってくる
　寒月君は	話している
「先生障子を	張り
誰が	張ったんです」
「女が	張ったんだ
おいでに	なる
あれも	手伝ったのさ
障子が	張れれば
障子を	見つめている
平ですが、	出来ていますね」
「あすこが	出来上った
御手際が	落ちますね
表面は	あらわせないです」と、
挨拶を	した
様子では	表した
主人は	云った
武右衛門君は	出た
吟でも	書いて
元を	糺せば
武右衛門君が	死んだら、
ものが	消えて
令嬢らしいのを	貰うが
学問は	出来ますか」
割には	出来ないがね、
こないだ	訳して下さいって
頭が	大き過ぎますから
先生	おっしゃいました」
事を	云って
事は	訳したんですか、
「小供は	訳してやらないと
「先生も	なりましたね
様子では、	見えないじゃありませんか」
「今日は	弱ってるんだよ
非常に	可哀想になりました
全体	どうしたんです」
娘に	送ったんだ」
艶書が	降り込んだって
君が	安心していれば
私は	構いません
大頭が	かいたと
冗談に	したんだよ
生意気だから、	からかってやろうって、
「三人が	やったんですか
西洋料理を	食うような
手分けが	あるんだ
一人が	投函する、
今	来たのが
顔も	見た
事が	出来た
大頭が、	面白いじゃありませんか」
「なになったって	しません、
君が	貰うかも知れない
金田なんか、	しません」
「君は	構わなくっても……」
金田だって	しません、
当人が	なって、
悄々と	しているんですか、
先生	云って
「本人は	なるでしょうかって、
退校に	なるんです」
悪るい、	したから」
「何、	ほどでもありませんやね
構や	しません
金田じゃ	吹聴していますよ」
事を	するのが
人相は	ありません
鼻なんか	ぴくぴくさせて
「君も	云うね」
風だから、	解釈なさるんです」
愚じゃないか、	知りもしない
たいがい常識を	かいて
功徳に	なりますよ
容子じゃ	出掛けますよ」
分別の	ある
子を	退校させるくらいなら、
上野へ	行くのは」
二三日中に	帰国しなければならない
帰るのかい、	用事でもあるのかい」
用事が	出来たんです
——とも	出ようじゃありませんか」
それじゃ	出ようか」
私が	奢りますから、
あとでは	笑っていた
前に	対坐している
「ただは	やらない
方が	奢るんだぜ
迷亭君が	押すと、
事を	すると、
かけなどで	奪われては
度外において、	了してこそ、
仙骨を	しちゃ
電信を	かけかね」
「君が	持つのかい」
「どっちでも	構わない」
仙人だけ	あって
どこからでも	来たまえ」
「黒から	打つのが
謙遜して、	行こう」
吾輩は	拝見したのだが、
板を	仕切って、
汗を	流して
前足で	掻き散らしても
懐手を	して
それも	ならないが、
黒が	こぼれ落ちるまでに
窮屈だからと	云って、
碁を	発明した
性質が	推知する
苦痛を	求める
禅機	ある
うちは	飛び交わしていたが、
所へ	這入ってくる
碁には	ないかも知れないが、
「臣死をだも	辞せず、
おいでに	なったと、
薫風南より	来って、
八幡鐘をと、	やったら、
そこを	切られちゃ
さっきから	云わん
白を	とってくれたまえ」
「それも	待つのかい」
「ついでに	隣りのも
事を	言わずに、
花道から	出してくる
事は	知らんよ」
さっきから、	したじゃないか」
旧に	倍し待ったを
座禅なんか	したら、
石でも	殺さなければ、
最初から	負けても
「僕は	構わないが、
春風影裏に	きってるね」
「ハハハハもう	なっていい
それじゃ	あきらめるかな」
無常迅速、	あきらめるさ」
「アーメン」と	下した
前で	争っていると、
前に	排列してあるのは
出処は	ぬくもっていた
東風君は	注いでいると、
四日ばかり前に	帰って来たのですが、
主人は	云う
おみやげを	献上しないと
「名産だって	有りそうだぜ」と
「かいだって、	わかりませんよ」
御覧	なさい」
事は	食べるが、
「それだから	持って来ないと
鼠が	食ったのです」
滅多に	食うと
「なに大丈夫、	かじったって
「全体どこで	噛ったんだい」
いっしょに	入れて、
胴を	間違えて
中に	住んでると、
「なに鼠だから、	住んでてもそそっかしいのでしょう
下宿へ	持って来てもまた
剣呑だから	寝ました」
時には	お洗いなさい」
「それじゃ	つけて、
「ヴァイオリンも	抱いて
「ヴァイオリンは	大き過ぎるから
　ヴァイオリンを	抱いて
だき心と	云う
秀才は	行かないよ
夜	守るや
新体詩で	えるかい」と
真面目で	出来ません
暁には	出ます」
おがらを	焚いて
無駄口を	叩くと
相手が	出せないのだから、
こっちで	待ってるんだ」と
白を	はすに
白を	はすに
君	返打たしてやるから
碁が	ある
碁が	ある
——	置くかな
——寒月君、	買うさ、
方も	願いたい
ものが	役に立つ
「君は	同一視しているんだろう
今だに	流行している
——さあ、	願おう
せりふじゃないが	暮れやすいからね」
「君のような	せわしない
暇も	ありゃしない
ここへ	入れて
事を	したね
そこへは	打つまいと
君のは	打つのじゃない
独仙君は	動じないね
度胸は	据ってる」
男は、	するがいい」と
独仙君は	促した
「君は	始めたのかい
僕も	習おうと
通りなら	出来るさ」
趣味の	ある
君なら	上手になるよ」
「君は	始めたのかね」
ヴァイオリンを	習い出した
「高等学校時代に	あってやり
「なあに先生も	ありゃしない
「独習なら	限った
天才と	云われて
風に	独習したのか
参考に	したいから」
先生	話しましょうかね」
「今では	あるいておりますが、
私の	おった
話が	始まったようだ
加減に	切り上げようじゃないか」
所が	ある」
所なら、	進上する」
訳にも	行かない」
「禅学者にも	似合わん
それじゃ	やっちまおう
——	登校するのは……」
事は	ありません」
はだしで	して、
だれが	云いました」
弁当には	云うじゃないか
中心から	出て来るそうだ
梅干が	出るのを
独仙君、	気に入りそうな
事が	ある
友人が	している
不思議に	思って、
気風を	あらわす
ここへ	入れなくちゃいけない」
——	驚いたね
ところで	独習したのは
※独に	して
——	しろ？
勘定しなくっても	負けてるから
極りが	つかないから……」
「それじゃ	やってくれた
才人ウェルテル君が	聞かなくっちゃ、
独仙君は	している
寒月君は	つづける
ものが	おっては、
書生と	来たら、
袴なんぞ	穿くん
第一あれから	して
塩風に	吹かれつけている
男だから	済むが
貰い手が	あるね」
黒いのだから	ありません」
鏡を	見る
女と	云う
方で	しませんか」と
者だ」と	云うと、
事を	云うと
「小供を	連れて、
静かだと	思った
どこへ	行ったの
「どこだか	分らない
勝手に	出て
勝手に	帰ってくるの
東風君は	する
寒月君は	笑う
「妻を	持つと
四十六目	あるか
「君も	云うのさ」
妻は	愛しているのだから」
「そいつは	失敬した
例は	ありますよ」と
「僕も	賛成する
考では	あるばかりで、
一つを	代表する
先生」と	向き直った
僕などは	這入れそうもない」
「妻を	貰えば
青年は	分からないですから、
ヴァイオリン物語を	拝聴するはずだったね
邪魔は	しないから」と
一路は	開ける者ではない
遊戯三昧で	知れては
消息を	知ろうと
極致を	表わした
訳に	行かなければ、
第一	買うのに
土地に	ある
事は	あるんです
金も	用意して
土地だから、	見つかります
生意気だと	云うので
昔から	加えられる
天才か、	蒙りたいね
毎日散歩を	して
迷亭で、	解しかねたのが
独仙君ばかりは	撚している
所に	あるかが
地方でも	あって、
いいのは	ありません
ヴァイオリンと	云う
店でも	おいていないので、
それがね、	あります
音を	聞くと
癲癇にも	あるが
鋭敏でなければ	なれないですよ
天才肌だ」と	感心する
実際癲癇かも	知れませんが、
その後	ひきましたが
何と	形容していいでしょう
「琳琅※鏘として	鳴るじゃないか」と
「私が	散歩している
三度目に	あっても
ものから	譴責されても、
僕も	どうかして、
音楽会などへ	行って
平気で	話すような
——	買いました」
ものは	行きましたから、
私は	云って、
今晩こそ	入れようと、
「偽病を	つかって
迷亭君も	恐れ入った
中から	出していると、
頭から	もぐり込んで、
首を	出すと
方に	かたまって、
影と	云うのは」
皮を	剥いて、
床を	出て
主人は	聞く
東京など	わかりませんね」
今度は	きく
眼を	ふさいで、
約三四時間も	立ったと
「何	返も
床を	出て、
先生そう	焦かずに
中で	辛抱して、
「いつまで	行っても
床を	出て
柿を	食ったのかい
いつまで	行っても
「君より	聞いてる
性急だから、	困ります」
方も	困るよ」と
諸君が	御困り
私は	食ってしまいました」
「みんな	食ったら
私が	食って、
いつまで	行っても
私も	飽き飽きします」
根気が	あれば
朝まで	かんかんするんだろう
全体	いつ
日が	かんかんしても
落ちつき	払った
「いつ	買う気だと
いつ頭を	出して
私は	泣きました
東風君、	泣いたよ」
多情多恨だから、	同情するが、
山々だが、	困るのさ」
日が	暮れなくちゃ
佳境に	入る
「それじゃ	聞くから、
ご注文ですが、	致しましょう」
好都合だ」と	澄まして
夜に	入ったので、
嫌ですから、	結んでいたのです……」
大袈裟だね」と	申し込むと
四畳半くらいに	しておく
東風君だけは	褒めた
所に	住んでいては
何里くらい	あるんですか」と
学校から	して
「それじゃ	とってるんでしょう」と
百姓家には	います」
人迹稀なんですか」と	喰わせる
服装と	云うと、
時節で	出るまでは
一歩	運ぶ
誰か	つけて来そうで
中に	写っています
東嶺寺と	云うのは
天の河が	横切って
突飛だね」と	云った
「南郷街道を	来て、
町を	通らなくてもいい
ヴァイオリンを	買ったのか、
「楽器の	ある
金善方へ	来て
済まないんだから	難渋するよ」と
通り	一返の
灯影に	すかして
一部だけが	映ります
東風君が	ほめた
ヴァイオリンだなと	思うと、
独仙君が	笑った
馳け込んで、	出して、
主人が	きく
事を	しては
ところで	思い留まりました」
「なんだ、	買わないのかい
一梃で	引っ張るじゃないか」
訳じゃないんですが、	ありません」
宵の口で	通るんです
人が	通ったって、
人なら	構いませんがね、
中には	ありますからね
そんなのに	限って
滅多に	出来ません
目に	逢うか
ヴァイオリンを	弾いて
「それじゃ、	やめたんだね」と
かたを	つけたらよさそうな
こっちの	思うように
　主人は	面倒になったと
独仙君は	とっている
逸話も	かかるので
煙を	ふうと
「東風君、	思ったね
駄目だ、と	云って
何でも	帰りつくして、
僕は	見積ったね
十時頃まで	暮さなければならない
うちへ	帰って
うちへ	話しに
平生ならば	経ってしまうのだが
「古人を	待つ
犬に	比較された
「僕は	堪えない
犬に	比較したのは
慰藉されなくても	つづけるつもりである
徒町から	通って、
「十時に	なったかい」
事に	ならないね
——紺屋橋を	渡り切って
犬が	吠えましたよ先生……」
夜長に	きくのは
落人と	云う
「何か	事でもしたんですか」
「可哀相に	買うのが
「人が	認めない
耶蘇も	生れれば
所で	買えば
「それじゃ	負けて
十時に	ならないのには
一	返、
それで	足りなければまた
渋柿を	食うさ
いつまでも	聞くから
　寒月先生は	笑った
先を	越されては
それじゃ	してしまいましょう
十時に	なって
金善では	しています
犬に	けられたような
時	聞いた
ところです」と	答えると
独仙君は	埋めてしまった
頭巾を	被ったまま
私は	引きました
おいヴァイオリンを	くれと
いくらかと	聞くと
ヴァイオリンが	あるのかい
同価かと	聞くと、
みんな	ございますと
この間、	見ています
顔は	かくしてあるから
事風呂敷包を	入れて、
往来へ	出て
大変だと	出て、
下宿へ	帰って
ものだね」と	云うと
道中双六だ」と	息ついた
ものは	するね」
ここで	やめちゃ
事は	聞くよ」
沙弥先生も	なっては
ヴァイオリンは	買ってしまいましたよ
ヴァイオリンを	売る
ところなんか	聞かなくってもいい」
「そんならなお	聞かなくてもいい」
君だけだね、	聞いてくれるのは
張合が	抜けるが
「ヴァイオリンは	入れたが、
所へは	くるから
穴を	掘って
天井裏へでも	隠したかい」と
どこへ	入れたい」
「どこへ	入れたと
「夜具に	くるんで
寒月君は	話している
読むのだい」と	聞く
「羅甸語は	分ってるが、
君は	云ってるじゃないか」と
事は	読めるが、
事は	読めるが、
英語に	訳して
羅甸語などは	拝聴仕ろうじゃないか
露見するか、	しないか
それから	したい」と
主人は	取り残された
寒月君は	説明する
中へ	隠しました
国を	出る
ヴァイオリンとは	調和しないようだ
「天井裏だって	調和しないじゃないか」と
「調和は	しないが、
つづらに	かくす
「先生今日は	出来ますね」
「今日に	限った
いつでも	出来てるのさ
造詣と	云ったら、
合でしたか」と	かける
「なに	つき合わなくっても
寒月君は	進行する
置き所だけは	出来た
人目を	掠めて
音が	出る
木槿垣を	隔てて
東風君が	合わせる
論より	出るんだから、
これが	するとか、
「音さえ	出なければ
音さえ	出なけりゃと
昔し	している
日藤さんが	出た
「おれが	のむ
「おや本を	読んでるから
油断の	出来ない
僕も	飲んだ
——両君	聞き
元来酒は	飲めないのだよ
ところを	思って
二目とは	見られない
羅甸語も	読めない
「ハハハハ、	見ると、
誰か	飲んだに
三人は	笑い出した
主人も	よみながら、
独り独仙君に	至っては
音が	しない
僕が	行って、
古着屋だろうが	構う
云うのは	切らしてしまったのさ
諸君も	知ってるだろうが、
煙草を	切らしたのだから
そんなでないのが	呑みたくなり出してね
事に、	登山しているのさ
それを	出しては、
しようも	あるが、
びら	かすんだね……」
「何です、	云うのは」
「衣装道具なら	見せびらかすのだが、
思いを	なさるより
「奴さん手拭を	ぶらさげて
「湯には	這入らなかったのですか」
巾着を	忘れたのに
人が	とりゃしまいし
「ハハハハじじいも	あるよ
じいさんが	あけると
「じいさん	何とかいいましたか」
何にも	言わずに
「そんなのが	云うのでしょうか」
呉服屋趣味だか	知らないが、
「煙草は	なったんですか」
ヴァイオリンは	ついたかい」と
時ですから	聞いて下さい
上で	している
独仙君、	起きた
話が	ある
顔を	上げた
心持ちに	寝たよ」
「寝たのは	認めているのだがね
話が	あるかい」
ヴァイオリンを——	するんだったかな、
するのかな、	つかない」
ヴァイオリンを	弾く
こっちへ	出て来て、
素琴を	弾ずる
近所へ	聞えないように
白牛を	見れば
寒月君は	進めた
事で	案出しました
天長節だから、	取り出しました」
東風君が	云うと
弓を	取って、
刀屋じゃあるまいし」と	冷評した
魂だと	思うと、
私は	ふるえました」
天才だ」と	云う
主人は	云う
独仙君は	する
今度は	見る
約五分間、	鳴いていると
安心して	弾くがいい」
これなら	ぬっくと
「どっかへ	行くのかい」
一句毎に	されちゃ
「おい諸君、	だまるんだとさ
「ヴァイオリンを	抱い込んで、
「そらおいで	なすった
どっかで	停電するに
諸先生が	御まぜ返しになっては
——	いいかね
どこへ	行くんだい」
事草履を	見つけて、
右へと	差しかかってくると、
何時だと	思う、
夜長を	云う
ヴァイオリンが	弾きたいばかりで
大平と	云う
人の	住んでる
工兵が	切り開いてくれたから、
上へ	来て、
晩に	登ったのは
場合に	乱す
二十分ほど	している
一人	住んでる
事に	なって来たね」と
状態が	つづいたら、
「狐でも	いる
具合で、	なくなって、
声が	起して
安心した」と	撫でおろす
「大死一番乾坤新なり」と	する
寒月君には	通じない
我に	帰って
音は	考えた
声に	しては
何だろうと	云う
うちに	あいて、
心臓が	踊り出す
両足が	はじめる
これは	たまらん
毛布を	かぶって、
今	考えても
「ヴァイオリンは	弾かないのかい」
君だって	弾かれないよ」
気が	する」
「気が	しても
先生」と	すである
そこまで	持って行くには
僕は	拝聴していたんだよ」と
事に	驚ろかし、
遺憾だろう」と	説明すると、
「全体	弾こうなんて、
「好漢	向って
事だ」と	嘆息した
すべて	云う
寒月君ばかりではない、	わからないだろう
寒月君、	磨いてるのかね」と
こないだうちから	帰省していた
珠も	あきましたから、
珠が	磨けないと
博士ならも	うならなくってもいいんです」
結婚が	延びて、
「私が	結婚するんです」
あれほど	あるじゃないか」
「約束なんか	ありゃしません、
ねえ迷亭、	知ってるだろう」
事件なら、	知れ渡ってる
花聟花嫁と	云う
東風君なぞは	待ってるんだが、
同情を	こめた
「それ	見たまえ、
珠を	磨いてくれたまえ」
「へへへへ	かけて
私には	あるんです」
秘密結婚を	やったのかね
油断の	ならない
苦沙弥さん	御聞き及びの
結婚して	たたない
どこで	結婚したんだ」と
国へ	帰ったら、
所へ	持って来た、
三本	祝うのは
うちを	持って来たのです」
ほかへ	やりゃ
中で	するような
鉢合せを	しないでも
事なら	構いっこないよ
鴛鴦歌を	作った
こちらへ	向け
結婚式にはまた	作りますから」
詩人だけ	あって
方へ	断わったかい」と
訳が	ありません
方で	くれとも、
なあに	黙ってても
今時分は	知れていますよ」
　探偵と	云う
そんなら	黙っていろ」と
際に	抜くのが
間に	はずして
ダンビラを	刺して
探偵と	云う
奴の	云う
